kind,category,name,person_id,our_dob,wd_dob,wd_precision,candidate_qid,url,suggested_action
FIX-SAFE,verify-dob-single-search,Bùi Minh Châu,person-2483601c9ee8,1961-10-25,1961-01-01,9,Q47506344,https://www.wikidata.org/wiki/Q47506344,"upgrade 1961-01-01(prec 9) -> 1961-10-25; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Bùi Thanh Sơn,person-2949d4901655,1962-10-16,1962-01-01,9,Q30921853,https://www.wikidata.org/wiki/Q30921853,"upgrade 1962-01-01(prec 9) -> 1962-10-16; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Bùi Văn Cường,person-50846a98640d,1965-06-18,1965-01-01,9,Q10742852,https://www.wikidata.org/wiki/Q10742852,"upgrade 1965-01-01(prec 9) -> 1965-06-18; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Cao Thị Xuân,person-59b67de2a2df,1969-09-18,1969-01-01,9,Q10744274,https://www.wikidata.org/wiki/Q10744274,"upgrade 1969-01-01(prec 9) -> 1969-09-18; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Châu Quỳnh Dao,person-bf0cb8c82b94,1977-05-18,1977-01-01,9,Q47506307,https://www.wikidata.org/wiki/Q47506307,"upgrade 1977-01-01(prec 9) -> 1977-05-18; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Dương Minh Ánh,person-bd908524c841,1975-09-01,1975-00-00,9,Q24959119,https://www.wikidata.org/wiki/Q24959119,"upgrade 1975-00-00(prec 9) -> 1975-09-01; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Giàng Páo Mỷ,person-8b24c0b4b7ae,1963-12-22,1963-01-01,9,Q47506315,https://www.wikidata.org/wiki/Q47506315,"upgrade 1963-01-01(prec 9) -> 1963-12-22; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Hoàng Duy Chinh,person-9864742fbc3c,1968-09-15,1968-01-01,9,Q30921831,https://www.wikidata.org/wiki/Q30921831,"upgrade 1968-01-01(prec 9) -> 1968-09-15; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Hoàng Thị Thúy Lan,person-6c67c1f1b13f,1966-05-06,1966-01-01,9,Q24957812,https://www.wikidata.org/wiki/Q24957812,"upgrade 1966-01-01(prec 9) -> 1966-05-06; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Hoàng Văn Liên,person-c4036c91523d,1965-08-19,1965-01-01,9,Q47506328,https://www.wikidata.org/wiki/Q47506328,"upgrade 1965-01-01(prec 9) -> 1965-08-19; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Hoàng Đức Thắng,person-dceb2f1c9837,1964-11-12,1964-01-01,9,Q30921761,https://www.wikidata.org/wiki/Q30921761,"upgrade 1964-01-01(prec 9) -> 1964-11-12; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Huỳnh Minh Tuấn,person-ef2b94e145ab,1980-10-10,1980-01-01,9,Q30922152,https://www.wikidata.org/wiki/Q30922152,"upgrade 1980-01-01(prec 9) -> 1980-10-10; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Huỳnh Thành Chung,person-4b81cf3154c1,1968-08-21,1968-01-01,9,Q30921238,https://www.wikidata.org/wiki/Q30921238,"upgrade 1968-01-01(prec 9) -> 1968-08-21; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Hà Sỹ Đồng,person-ffd2157de4bc,1964-01-18,1964-01-01,9,Q10770580,https://www.wikidata.org/wiki/Q10770580,"upgrade 1964-01-01(prec 9) -> 1964-01-18; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Hồ Đức Phớc,person-8040275019e4,1963-11-01,1963-01-01,9,Q16157242,https://www.wikidata.org/wiki/Q16157242,"upgrade 1963-01-01(prec 9) -> 1963-11-01; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Khuất Việt Dũng,person-5336b648e589,1959-01-31,1959-01-01,9,Q20025821,https://www.wikidata.org/wiki/Q20025821,"upgrade 1959-01-01(prec 9) -> 1959-01-31; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Leo Thị Lịch,person-d4cd86bef295,1969-09-23,1969-01-01,9,Q30921843,https://www.wikidata.org/wiki/Q30921843,"upgrade 1969-01-01(prec 9) -> 1969-09-23; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Lê Kim Toàn,person-6e77584be8cb,1965-05-05,1965-01-01,9,Q10787700,https://www.wikidata.org/wiki/Q10787700,"upgrade 1965-01-01(prec 9) -> 1965-05-05; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-search,Lê Minh Chuẩn,person-8cfacf2f0845,1965-04-02,1965-01-01,9,Q47506363,https://www.wikidata.org/wiki/Q47506363,"upgrade 1965-01-01(prec 9) -> 1965-04-02; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Lê Minh Hoan,person-38fb66aebce8,1961-01-19,1961-01-01,9,Q16157439,https://www.wikidata.org/wiki/Q16157439,"upgrade 1961-01-01(prec 9) -> 1961-01-19; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Lê Quang Huy,person-487c77d65d26,1966-09-19,1966-01-01,9,Q10787782,https://www.wikidata.org/wiki/Q10787782,"upgrade 1966-01-01(prec 9) -> 1966-09-19; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Lê Thanh Vân,person-71fd02aa8b30,1964-12-23,1964-01-01,9,Q10787819,https://www.wikidata.org/wiki/Q10787819,"upgrade 1964-01-01(prec 9) -> 1964-12-23; same year — safe, like Phan Văn Giang"
FIX-SAFE,verify-dob-single-pool,Lê Thị Nga,person-c8d12b1a7ac9,1964-12-20,1964-01-01,9,Q10787854,https://www.wikidata.org/wiki/Q10787854,"upgrade 1964-01-01(prec 9) -> 1964-12-20; same year — safe, like Phan Văn Giang"
