priority,category,person_id,name,our_dob,candidate_qids,first_candidate_url
1,verify-dob-single-search,person-2483601c9ee8,Bùi Minh Châu,1961-10-25,Q47506344,https://www.wikidata.org/wiki/Q47506344
1,verify-dob-single-search,person-2949d4901655,Bùi Thanh Sơn,1962-10-16,Q30921853,https://www.wikidata.org/wiki/Q30921853
1,verify-dob-single-pool,person-50846a98640d,Bùi Văn Cường,1965-06-18,Q10742852,https://www.wikidata.org/wiki/Q10742852
1,verify-dob-single-search,person-5c7697c8eb8f,Cao Mạnh Linh,1982-01-23,Q117000848,https://www.wikidata.org/wiki/Q117000848
1,verify-dob-single-pool,person-59b67de2a2df,Cao Thị Xuân,1969-09-18,Q10744274,https://www.wikidata.org/wiki/Q10744274
1,verify-dob-single-search,person-ff5e8ac87d7d,Châu Ngọc Tuấn,1970-12-28,Q109441616,https://www.wikidata.org/wiki/Q109441616
1,verify-dob-single-search,person-bf0cb8c82b94,Châu Quỳnh Dao,1977-05-18,Q47506307,https://www.wikidata.org/wiki/Q47506307
1,verify-dob-single-search,person-9ed85f9357db,Chẩu Văn Lâm,1967-04-16,Q30921973,https://www.wikidata.org/wiki/Q30921973
1,verify-dob-single-search,person-bd908524c841,Dương Minh Ánh,1975-09-01,Q24959119,https://www.wikidata.org/wiki/Q24959119
1,verify-dob-single-search,person-8b24c0b4b7ae,Giàng Páo Mỷ,1963-12-22,Q47506315,https://www.wikidata.org/wiki/Q47506315
1,verify-dob-single-search,person-9864742fbc3c,Hoàng Duy Chinh,1968-09-15,Q30921831,https://www.wikidata.org/wiki/Q30921831
1,verify-dob-single-search,person-6c67c1f1b13f,Hoàng Thị Thúy Lan,1966-05-06,Q24957812,https://www.wikidata.org/wiki/Q24957812
1,verify-dob-single-search,person-95b676ce1ed0,Hoàng Văn Hữu,1966-05-25,Q97166858,https://www.wikidata.org/wiki/Q97166858
1,verify-dob-single-search,person-c4036c91523d,Hoàng Văn Liên,1965-08-19,Q47506328,https://www.wikidata.org/wiki/Q47506328
1,verify-dob-single-search,person-dceb2f1c9837,Hoàng Đức Thắng,1964-11-12,Q30921761,https://www.wikidata.org/wiki/Q30921761
1,verify-dob-single-search,person-ef2b94e145ab,Huỳnh Minh Tuấn,1980-10-10,Q30922152,https://www.wikidata.org/wiki/Q30922152
1,verify-dob-single-search,person-4b81cf3154c1,Huỳnh Thành Chung,1968-08-21,Q30921238,https://www.wikidata.org/wiki/Q30921238
1,verify-dob-single-pool,person-ffd2157de4bc,Hà Sỹ Đồng,1964-01-18,Q10770580,https://www.wikidata.org/wiki/Q10770580
1,verify-dob-single-search,person-776f22e810f5,Hà Thị Nga,1969-02-20,Q49054138,https://www.wikidata.org/wiki/Q49054138
1,verify-dob-single-search,person-17e7d99c5a9f,Hồ Thị Kim Ngân,1978-03-02,Q99504010,https://www.wikidata.org/wiki/Q99504010
1,verify-dob-single-pool,person-8040275019e4,Hồ Đức Phớc,1963-11-01,Q16157242,https://www.wikidata.org/wiki/Q16157242
1,verify-dob-single-search,person-5336b648e589,Khuất Việt Dũng,1959-01-31,Q20025821,https://www.wikidata.org/wiki/Q20025821
1,verify-dob-single-search,person-d4cd86bef295,Leo Thị Lịch,1969-09-23,Q30921843,https://www.wikidata.org/wiki/Q30921843
1,verify-dob-single-search,person-b3ea7087211c,Lâm Văn Mẫn,1970-12-10,Q49054507,https://www.wikidata.org/wiki/Q49054507
1,verify-dob-single-search,person-b5e16ddebf5b,Lã Thanh Tân,1967-10-02,Q30921638,https://www.wikidata.org/wiki/Q30921638
1,verify-dob-single-search,person-fff9da551a59,Lê Khánh Hải,1966-05-27,Q97927041,https://www.wikidata.org/wiki/Q97927041
1,verify-dob-single-pool,person-6e77584be8cb,Lê Kim Toàn,1965-05-05,Q10787700,https://www.wikidata.org/wiki/Q10787700
1,verify-dob-single-search,person-8cfacf2f0845,Lê Minh Chuẩn,1965-04-02,Q47506363,https://www.wikidata.org/wiki/Q47506363
1,verify-dob-single-pool,person-38fb66aebce8,Lê Minh Hoan,1961-01-19,Q16157439,https://www.wikidata.org/wiki/Q16157439
1,verify-dob-single-pool,person-64ba6ae04ef9,Lê Mạnh Hùng,1973-10-24,Q10787743,https://www.wikidata.org/wiki/Q10787743
1,verify-dob-single-pool,person-487c77d65d26,Lê Quang Huy,1966-09-19,Q10787782,https://www.wikidata.org/wiki/Q10787782
1,verify-dob-single-search,person-fda628e82d7a,Lê Quốc Chỉnh,1968-12-01,Q109441606,https://www.wikidata.org/wiki/Q109441606
1,verify-dob-single-pool,person-97361cf901c7,Lê Thanh Phong,1967-10-06,Q10787816,https://www.wikidata.org/wiki/Q10787816
1,verify-dob-single-pool,person-71fd02aa8b30,Lê Thanh Vân,1964-12-23,Q10787819,https://www.wikidata.org/wiki/Q10787819
1,verify-dob-single-pool,person-d3aa68dd45b8,Lê Thành Long,1963-09-23,Q10787813,https://www.wikidata.org/wiki/Q10787813
1,verify-dob-single-pool,person-c8d12b1a7ac9,Lê Thị Nga,1964-12-20,Q10787854,https://www.wikidata.org/wiki/Q10787854
1,verify-dob-single-search,person-b911b4c2635a,Lê Thị Song An,1977-10-11,Q118250874,https://www.wikidata.org/wiki/Q118250874
1,verify-dob-single-search,person-fc9d2bf09d8d,Lê Trường Lưu,1963-01-23,Q24957825,https://www.wikidata.org/wiki/Q24957825
1,verify-dob-single-search,person-375a2d8b0b4e,Lê Tấn Tới,1969-04-04,Q30921860,https://www.wikidata.org/wiki/Q30921860
1,verify-dob-single-search,person-51b8457c0ff6,Lê Tất Hiếu,1966-08-01,Q61130675,https://www.wikidata.org/wiki/Q61130675
1,verify-dob-single-pool,person-57fcfd8251d8,Lê Văn Cường,1978-08-28,Q10787906,https://www.wikidata.org/wiki/Q10787906
1,verify-dob-single-pool,person-5da5bc0aa4bc,Lê Văn Dũng,1966-10-20,Q10787909,https://www.wikidata.org/wiki/Q10787909
1,verify-dob-single-pool,person-fc985555dfd8,Lê Xuân Thân,1961-05-02,Q10787962,https://www.wikidata.org/wiki/Q10787962
1,verify-dob-single-search,person-0edffd1f0251,Lê Đào An Xuân,1983-01-09,Q109439382,https://www.wikidata.org/wiki/Q109439382
1,verify-dob-single-search,person-2c6040860c8f,Lý Tiết Hạnh,1972-10-30,Q30921873,https://www.wikidata.org/wiki/Q30921873
1,verify-dob-single-search,person-b60086ecc471,Lý Văn Huấn,1971-10-13,Q61131865,https://www.wikidata.org/wiki/Q61131865
1,verify-dob-single-search,person-7c68c8e56950,Lưu Văn Đức,1967-02-18,Q30922071,https://www.wikidata.org/wiki/Q30922071
1,verify-dob-single-search,person-e0fd32e1d792,Lương Quốc Đoàn,1970-12-21,Q109438997,https://www.wikidata.org/wiki/Q109438997
1,verify-dob-single-search,person-bae701cb286e,Lại Xuân Môn,1963-11-29,Q30921862,https://www.wikidata.org/wiki/Q30921862
1,verify-dob-single-search,person-85c5f4594b62,Ma Thị Thúy,1978-10-03,Q30921967,https://www.wikidata.org/wiki/Q30921967
1,verify-dob-single-search,person-58c729d0329f,Mai Khanh,1975-10-22,Q47506335,https://www.wikidata.org/wiki/Q47506335
1,verify-dob-single-search,person-b7ead9912134,Mai Thị Phương Hoa,1971-11-25,Q47506330,https://www.wikidata.org/wiki/Q47506330
1,verify-dob-single-pool,person-81b2ed6d3048,Nguyễn Thị Thu Hà,1978-02-04,Q10799708,https://www.wikidata.org/wiki/Q10799708
1,verify-dob-single-search,person-d66ab231f5a5,Nguyễn Anh Trí,1957-09-14,Q30920721,https://www.wikidata.org/wiki/Q30920721
1,verify-dob-single-pool,person-c2951006a088,Nguyễn Cao Sơn,1969-05-09,Q10798991,https://www.wikidata.org/wiki/Q10798991
1,verify-dob-single-search,person-51075593f141,Nguyễn Hoàng Mai,1965-05-03,Q30922053,https://www.wikidata.org/wiki/Q30922053
1,verify-dob-single-search,person-b577d3510a36,Nguyễn Hải Hưng,1966-03-22,Q47506288,https://www.wikidata.org/wiki/Q47506288
1,verify-dob-single-search,person-0311fa69f204,Nguyễn Hải Trung,1968-10-06,Q61131145,https://www.wikidata.org/wiki/Q61131145
1,verify-dob-single-pool,person-d3edd5d9d4c7,Nguyễn Hồng Diên,1965-03-16,Q10799140,https://www.wikidata.org/wiki/Q10799140
1,verify-dob-single-pool,person-581b2f2abf8e,Nguyễn Hữu Đông,1972-09-20,Q10799203,https://www.wikidata.org/wiki/Q10799203
1,verify-dob-single-search,person-d066c9a5d5a6,Nguyễn Khắc Định,1964-01-03,Q30920504,https://www.wikidata.org/wiki/Q30920504
1,verify-dob-single-pool,person-c3b24a92704c,Nguyễn Kim Sơn,1966-11-18,Q10799246,https://www.wikidata.org/wiki/Q10799246
1,verify-dob-single-pool,person-018f33f0c2ef,Nguyễn Lâm Thành,1964-07-07,Q10799262,https://www.wikidata.org/wiki/Q10799262
1,verify-dob-single-pool,person-72d1bfe5be79,Nguyễn Mạnh Tiến,1966-05-21,Q10799303,https://www.wikidata.org/wiki/Q10799303
1,verify-dob-single-search,person-aeb1c1d406d0,Nguyễn Ngọc Bảo,1967-06-16,Q30924029,https://www.wikidata.org/wiki/Q30924029
1,verify-dob-single-search,person-a3d13b223a9d,Nguyễn Như So,1957-08-23,Q30921827,https://www.wikidata.org/wiki/Q30921827
1,verify-dob-single-pool,person-4dff315c331d,Nguyễn Phi Thường,1971-05-07,Q10799382,https://www.wikidata.org/wiki/Q10799382
1,verify-dob-single-search,person-26eced14feb6,Nguyễn Phương Tuấn,1975-03-20,Q47506336,https://www.wikidata.org/wiki/Q47506336
1,verify-dob-single-search,person-d5cd3ca624e3,Nguyễn Quốc Hận,1965-02-17,Q30921706,https://www.wikidata.org/wiki/Q30921706
1,verify-dob-single-search,person-7d1e652d3471,Nguyễn Sỹ Quang,1970-02-01,Q118251322,https://www.wikidata.org/wiki/Q118251322
1,verify-dob-single-pool,person-2a28c0679e9e,Nguyễn Thanh Hải,1972-11-30,Q10799486,https://www.wikidata.org/wiki/Q10799486
1,verify-dob-single-pool,person-4bbb98ebbd41,Nguyễn Thanh Hải,1972-05-21,Q10799486,https://www.wikidata.org/wiki/Q10799486
1,verify-dob-single-pool,person-9e2b7bfa9478,Nguyễn Thanh Phong,1976-05-21,Q10799539,https://www.wikidata.org/wiki/Q10799539
1,verify-dob-single-pool,person-c3bb9bca8d77,Nguyễn Thanh Phương,1965-04-03,Q10799494,https://www.wikidata.org/wiki/Q10799494
1,verify-dob-single-search,person-bf29c18a30c8,Nguyễn Thanh Sang,1969-10-09,Q20026001,https://www.wikidata.org/wiki/Q20026001
