person_id,name,dob,wikidata_qid,match_status,match_notes
person-72fb61a58093,Vũ Hồng Thanh,1962-04-19,,ambiguous,"name match, DOB unconfirmed: Q30921400"
person-4ba314390d01,Nguyễn Xuân Thắng,1957-02-18,Q49054650,matched,name + DOB match via search
person-8cfacf2f0845,Lê Minh Chuẩn,1965-04-02,,ambiguous,"name match, DOB unconfirmed: Q47506363"
person-34c3b35e06e2,Ngô Hoàng Ngân,1966-05-25,,ambiguous,"name match, DOB unconfirmed: Q116976058"
person-e90cd319b5d8,Đỗ Thị Lan,1967-11-17,,ambiguous,"name match, DOB unconfirmed: Q47506364"
person-d47682fa57f2,Lương Công Quyết (Hòa thượng Thích Thanh Quyết),1962-06-15,,unmatched,no name candidates on Wikidata
person-81b2ed6d3048,Nguyễn Thị Thu Hà,1978-02-04,,ambiguous,"pool name match, DOB unconfirmed: Q10799708"
person-cf41da07ab1a,Trần Thị Kim Nhung,1973-02-12,Q116976114,matched,name + DOB match via search
person-99702bbf5f39,Đặng Xuân Phong,1972-07-08,,ambiguous,"name match, DOB unconfirmed: Q47506287, Q10841615"
person-4a6aff745af0,Lê Thị Hà (Lê Thu Hà),1968-11-26,,unmatched,no name candidates on Wikidata
person-191bad91ad8e,Hà Đức Minh,1987-04-28,Q116946986,matched,name + DOB match via search
person-a72d99c1bd97,Trần Cẩm Tú,1961-08-25,,ambiguous,"name match, DOB unconfirmed: Q10829281"
person-092d4c5e5e3a,Sùng A Lềnh,1975-08-16,Q116946987,matched,name + DOB match via search
person-452fa099631e,Nguyễn Thị Lan Anh,1981-05-18,,ambiguous,"name match, DOB unconfirmed: Q61132025, Q61129977, Q85866727"
person-bfff39afb603,Phan Đình Trạc,1958-08-25,,ambiguous,"pool name match, DOB unconfirmed: Q10805156"
person-abda1f507a14,Trịnh Thị Tú Anh,1980-08-17,,unmatched,no name candidates on Wikidata
person-376b6e952e68,Nguyễn Tạo,1963-06-16,,ambiguous,"pool name match, DOB unconfirmed: Q130386977"
person-73ab017ff448,Lâm Văn Đoan,1976-01-30,Q116205526,matched,name + DOB match via search
person-ea879cc3958c,K’ Nhiễu,1972-07-13,,unmatched,candidates found but no name match (1 searched)
person-9153fa6bd2a3,Nguyễn Văn Hiển,1974-02-16,,ambiguous,"pool name match, DOB unconfirmed: Q10799904, Q7023019"
person-c0229091ae8a,Trần Đình Văn,1966-06-17,Q116784303,matched,name + DOB match via search
person-f00e76048f7a,Nguyễn Chí Dũng,1960-08-05,Q10799005,matched,name + DOB match via search
person-dceb2f1c9837,Hoàng Đức Thắng,1964-11-12,,ambiguous,"name match, DOB unconfirmed: Q30921761"
person-1387516e3453,Hồ Thị Minh,1976-09-23,,unmatched,no name candidates on Wikidata
person-ffd2157de4bc,Hà Sỹ Đồng,1964-01-18,,ambiguous,"pool name match, DOB unconfirmed: Q10770580"
person-fd6864e6f127,Nguyễn Hữu Đàn,1974-05-28,Q116700342,matched,name + DOB match via search
person-1a343eb1ce11,Lê Quang Tùng,1971-10-30,,ambiguous,"name match, DOB unconfirmed: Q47506391, Q6507551"
person-ef2b94e145ab,Huỳnh Minh Tuấn,1980-10-10,,ambiguous,"name match, DOB unconfirmed: Q30922152"
person-776f22e810f5,Hà Thị Nga,1969-02-20,,ambiguous,"name match, DOB unconfirmed: Q49054138"
